titre;prix;devise;disponibilite;source
A Light in the Attic;51.77;£;In stock;fichier local : catalogue_demo.html
Tipping the Velvet;53.74;£;In stock;fichier local : catalogue_demo.html
Soumission;50.1;£;In stock;fichier local : catalogue_demo.html
Sharp Objects;47.82;£;In stock;fichier local : catalogue_demo.html
Sapiens: A Brief History of Humankind;54.23;£;In stock;fichier local : catalogue_demo.html
The Requiem Red;22.65;£;In stock;fichier local : catalogue_demo.html
The Dirty Little Secrets of Getting Your Dream Job;33.34;£;Out of stock;fichier local : catalogue_demo.html
The Coming Woman: A Novel Based on the Life of the Infamous;17.93;£;In stock;fichier local : catalogue_demo.html
The Boys in the Boat;22.6;£;In stock;fichier local : catalogue_demo.html
The Black Maria;52.15;£;Out of stock;fichier local : catalogue_demo.html
